ERSmeta URI,ERSmeta Property,ERSmeta Type,ERSmeta Description,DataDesc URI,DataDesc Property,DataDesc Type,DataDesc Description
https://schema.org/name,name,Text,Name of the software.,https://github.com/FZJ-IEK3-VSA/DataDesc/blob/main/schema/DataDesc_schema_v1.1.md#title,title,string,The title of the software. (OpenAPI: title)
https://w3id.org/okn/o/sd#hasShortName,acronym,Text,Abbreviation of the software name.,,,,
https://schema.org/identifier,identifier,URL,"The identifier property represents any kind of identifier for any kind of Thing, such as DOI, ISBNs, GTIN codes, UUIDs etc.",https://github.com/FZJ-IEK3-VSA/DataDesc/blob/main/schema/DataDesc_schema_v1.1.md#identifier,identifier,string,"The identifier property represents any kind of identifier for any kind of thing (e.g. orcid, URI, DOI, SPDX license identifier). (cf. Schema.org: identifier)"
https://schema.org/thumbnailUrl,logo,URL,Link to the logo of the software.,,,,
https://schema.org/softwareVersion,softwareVersion,Text,Version of the software instance as used by the developers.,,,,
https://schema.org/programmingLanguage,programmingLanguage,https://schema.org/ComputerLanguage,The computer programming language in which the software is written.,https://github.com/FZJ-IEK3-VSA/DataDesc/blob/main/schema/DataDesc_schema_v1.1.md#programmingLanguages,programmingLanguages,array[string],The computer programming languages. (cf. Schema.org: programmingLanguage)
https://schema.org/inLanguage,inLanguage,Text,"Language used within the software (e.g. variables, documentation). Standard: IETF (BCP47)",,,,
https://schema.org/abstract,abstract,Text,A one-line summary of what the software does.,https://github.com/FZJ-IEK3-VSA/DataDesc/blob/main/schema/DataDesc_schema_v1.1.md#info,info,object/Info Object,Provides general metadata about the software.
https://schema.org/description,description,Text,A description of the software. Max 200 words.,https://github.com/FZJ-IEK3-VSA/DataDesc/blob/main/schema/DataDesc_schema_v1.1.md#description,description,string,A description of the item. (cf. Schema.org: description)
https://schema.org/keywords,keywords,Text,Keywords or tags used to describe this software.,https://github.com/FZJ-IEK3-VSA/DataDesc/blob/main/schema/DataDesc_schema_v1.1.md#keywords,keywords,array[string],"Keywords or tags used to describe some item. Multiple textual entries in a keywords list are typically delimited by commas, or by repeating the property. (cf. Schema.org: keywords)"
https://schema.org/image,graphicalAbstract,URL,Graphical overview on the functionality of the software.,,,,
https://schema.org/applicationCategory,domain,DefinedTerm,Research domain for which the software was written.,,,,
https://schema.org/applicationSubCategory,category,DefinedTerm,Research category for which the software was written.,,,,
https://nfdi4energy.github.io/ERSmeta/#ersmeta:softwareType,softwareType,DefinedTerm,"Type of software application, e.g. 'script'.",,,,
http://www.w3.org/ns/prov#hadRole,roleInResearch,DefinedTerm,Kind of tasks that the software tasks over in research.,,,,
