ERSmeta URI,ERSmeta Property,ERSmeta Type,ERSmeta Description,SoftwareDescriptionOntology URI,SoftwareDescriptionOntology Property,SoftwareDescriptionOntology Type,SoftwareDescriptionOntology Description
https://schema.org/name,name,Text,Name of the software.,http://schema.org/name,name,string,Name of the resource
https://w3id.org/okn/o/sd#hasShortName,acronym,Text,Abbreviation of the software name.,https://w3id.org/okn/o/sd#hasShortName,has short name,string,"A short name (e.g., temperature) capturing the high-level concept of the variable"
https://schema.org/identifier,identifier,URL,"The identifier property represents any kind of identifier for any kind of Thing, such as DOI, ISBNs, GTIN codes, UUIDs etc.",http://schema.org/identifier,identifier,string,Identifier of the resource being described
https://schema.org/thumbnailUrl,logo,URL,Link to the logo of the software.,https://w3id.org/okn/o/sd#logo,logo,Image,Property that links to the image used as logo for a software component
https://schema.org/softwareVersion,softwareVersion,Text,Version of the software instance as used by the developers.,https://w3id.org/okn/o/sd#hasVersion,Software Version,Software Version,A software version is a specificf type of software that represents a particular set of functionalities. New functionalities and error fixes may occur between software versions
https://schema.org/programmingLanguage,programmingLanguage,https://schema.org/ComputerLanguage,The computer programming language in which the software is written.,http://schema.org/programmingLanguage,programmingLanguage,string,Language used to code a software component
https://schema.org/inLanguage,inLanguage,Text,"Language used within the software (e.g. variables, documentation). Standard: IETF (BCP47)",,,,
https://schema.org/abstract,abstract,Text,A one-line summary of what the software does.,https://w3id.org/okn/o/sd#shortDescription,shortDescription,string,A summarized description of the resource
https://schema.org/description,description,Text,A description of the software. Max 200 words.,http://schema.org/description,description,string,A description of a resource
https://schema.org/keywords,keywords,Text,Keywords or tags used to describe this software.,http://schema.org/keywords,keywords,string,Keywords associated with a software component
https://schema.org/image,graphicalAbstract,URL,Graphical overview on the functionality of the software.,https://w3id.org/okn/o/sd#hasSoftwareImage,has software image,Software Image,Function to link a function with its corresponding container
https://schema.org/applicationCategory,domain,DefinedTerm,Research domain for which the software was written.,,,,
https://schema.org/applicationSubCategory,category,DefinedTerm,Research category for which the software was written.,,,,
https://nfdi4energy.github.io/ERSmeta/#ersmeta:softwareType,softwareType,DefinedTerm,"Type of software application, e.g. 'script'.",,,,
http://www.w3.org/ns/prov#hadRole,roleInResearch,DefinedTerm,Kind of tasks that the software tasks over in research.,,,,
https://schema.org/url,url,URL,Homepage of the tool. URL of the item.,https://w3id.org/okn/o/sd#website,website,any uri,Website of the software
https://codemeta.github.io/terms/developmentStatus,developmentStatus,DefinedTerm,"Description of development status, e.g. Active, inactive, suspended. See repostatus.org",,,,
https://nfdi4energy.github.io/ERSmeta/#ersmeta:developerStructure,developerStructure,DefinedTerm,Structure of the development team.,,,,
https://nfdi4energy.github.io/ERSmeta/#ersmeta:cycleOfUpdates,cycleOfUpdates,DefinedTerm,How often is the software updated?,,,,
https://codemeta.github.io/terms/issueTracker,issueTracker,URL,Link to software bug reporting or issue tracking system,https://codemeta.github.io/terms/issueTracker,issueTracker,any uri,Pointer to the issue tracker of a software component
https://codemeta.github.io/terms/referencePublication,referencePublication,https://schema.org/ScholarlyArticle,Any academic publication which describes the software.,https://codemeta.github.io/terms/referencePublication,reference publication,string,Main publication to cite for this software component
https://w3id.org/okn/o/sd#citation,preferredCitation,https://schema.org/ScholarlyArticle,"A reference to another work that should be cited instead of the software or dataset itself. Note that the principles of  software citation and data citation require that software should be cited on the same basis as any other research product such as a paper or a book. Adding a different preferred citation may result in a violation of the respective primary principle, Importance, when others cite this work.",https://w3id.org/okn/o/sd#citation,citation,string,How to cite this software
https://schema.org/license,license,https://schema.org/CreativeWork,A license document that applies to this software.,http://schema.org/license,http://schema.org/license,any uri,License of a software component or its source code
https://schema.org/copyrightHolder,copyrightHolder,https://schema.org/Organization,The party holding the legal copyright to the CreativeWork.,http://schema.org/copyrightHolder,copyright holder,"Organization, Person",Copyright holder for a software component
https://schema.org/isAccessibleForFree,isAccessibleForFree,Boolean,A flag to signal that the software is accessible for free.,,,,
https://schema.org/estimatedCost,estimatedCost,https://schema.org/MonetaryAmount,"Typical cost for licensing the software, if available.",,,,
https://schema.org/dateCreated,dateCreated,Date,The date on which the software was initially created.,http://schema.org/dateCreated,dateCreated,date time,Date when a software component was created
https://schema.org/dateModified,dateModified,Date,The date on which the software was most recently modified.,http://schema.org/datePublished,datePublished,date time,Date when a software component was published
https://schema.org/contributor,contributor,https://schema.org/Person,A person who has contributed to the software.,http://schema.org/contributor,contributor,Person,Contributor to a software component
https://schema.org/author,author,https://schema.org/Person,A person who has authored the software.,http://schema.org/author,author,"Organization, Person",The creator of a software component
https://schema.org/maintainer,maintainer,https://schema.org/Person,Individual responsible for maintaining the software.,https://w3id.org/okn/o/sd#hasContactPerson,has contact person,"Organization, Person",Contact person responsible for a software component
https://schema.org/sourceOrganization,sourceOrganization,https://schema.org/Organization,Institution which developed the software.,,,,
https://schema.org/countryOfOrigin ,countryOfOrigin,Text,Country where the software was developed. Country codes as defined by ISO 3166-1 alpha-2 should be used.,,,,
https://schema.org/funding,funding,https://schema.org/Grant,Information on the funding which was used to develop the software.,https://w3id.org/okn/o/sd#hasFunding,has funding information,Funding Information,Property that links a software project to its funding information
https://schema.org/downloadUrl ,downloadURL,URL,"If the file can be downloaded, URL to download the binary.",https://w3id.org/okn/o/sd#hasDownloadURL,has download URL,any uri,Download URL where to obtain the source/executable of the software
https://schema.org/codeRepository,codeRepository,URL,"Link to the repository where the un-compiled, human readable code and related code is located (SVN, GitHub, CodePlex, institutional GitLab instance, etc.).",http://schema.org/codeRepository,codeRepository,any uri,URL to the code repository of a software component
https://w3id.org/okn/o/sd#hasDocumentation,documentation,URL,Link to the documentation describing the code and is usful for developers.,https://w3id.org/okn/o/sd#hasDocumentation,has documentation,any uri,Pointer to the documentation of the model
readme,readme,URL,Link to software readme file.,https://codemeta.github.io/terms/readme,readme,any uri,URl to the readme file of a software component
buildInstructions,buildInstruction,URL,Link to installation instructions/documentation.,https://w3id.org/okn/o/sd#hasInstallationInstructions,,,
http://ontosoft.org/software#hasSoftwareSupport,supportGiven,Boolean,Is support for the software provided?,https://w3id.org/okn/o/sd#supportDetails,support details,string,"Property to link details, such as mailing lists in case a contact person is not provided"
https://nfdi4energy.github.io/ERSmeta/#ersmeta:requiredTrainingPeriod,requiredTrainingPeriod,Text,How long would a researcher need to be able to use the software?,,,,
https://w3id.org/okn/o/sd#hasExample,example,https://nfdi4energy.github.io/ERSmeta/#ersmeta:Example,Code examples for using the software.,https://w3id.org/okn/o/sd#hasExample,has example,string,An example explaining a scenario where the software component was used in plain language.
https://nfdi4energy.github.io/ERSmeta/#ersmeta:CommunityInteractions,communityInteractions,https://nfdi4energy.github.io/ERSmeta/#ersmeta:CommunityInteraction,Ways how the software developers interact with the software users (community).,,,,
http://ontosoft.org/software#usedInPublication,usedInPublication,https://schema.org/ScholarlyArticle,A publication which uses the software for its research.,,,,
http://purl.obolibrary.org/obo/RO_0002234,output,https://nfdi4energy.github.io/ERSmeta/#ersmeta:Interface,"Description of the output functions of the software (e.g., APIs)",https://w3id.org/okn/o/sd#hasOutput,has output,Dataset Specification,Property that expresses what are the outputs of a model
